id,capability,repository,url,license_cost_status,overlap_or_replacement,phase,required_credentials,blockers,self_hosting_decision,clone_command,stable_ref_guidance,self_hosting_manifest,stable_ref_status,stable_ref_rationale
mlflow,ai,mlflow,https://github.com/mlflow/mlflow,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,MLFLOW_URL,"mlflow: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/mlflow/mlflow integrations/upstream/mlflow,reviewed immutable HEAD commit 4d729911ff92780cc29a7e466960c10fd3b96e06 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: mlflow — mlflow: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
jupyter,developer-tools,jupyter,https://github.com/jupyter/jupyter,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,JUPYTER_URL,"jupyter: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/jupyter/jupyter integrations/upstream/jupyter,reviewed immutable HEAD commit 6b5eb0f469c7bc3ea43d6d2a0ba1057853c9a3a5 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: jupyter — jupyter: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
gitlab,developer-tools,gitlab,https://github.com/gitlab/gitlab,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,GITLAB_URL,"gitlab: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/gitlab/gitlab integrations/upstream/gitlab,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: gitlab — gitlab: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/gitlab/gitlab could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
gitea,developer-tools,gitea,https://github.com/gitea/gitea,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,GITEA_URL,"gitea: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/gitea/gitea integrations/upstream/gitea,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: gitea — gitea: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/gitea/gitea could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
forgejo,developer-tools,forgejo,https://github.com/forgejo/forgejo,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,FORGEJO_URL,"forgejo: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/forgejo/forgejo integrations/upstream/forgejo,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: forgejo — forgejo: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/forgejo/forgejo could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
woodpecker,ci,woodpecker,https://github.com/woodpecker/woodpecker,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,WOODPECKER_URL,"woodpecker: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/woodpecker/woodpecker integrations/upstream/woodpecker,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: woodpecker — woodpecker: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/woodpecker/woodpecker could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
drone,ci,drone,https://github.com/drone/drone,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,DRONE_URL,"drone: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/drone/drone integrations/upstream/drone,reviewed immutable HEAD commit 3da21b971702d95fcdb6b3e66a036b7f719a0c87 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: drone — drone: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
tekton,ci,tekton,https://github.com/tekton/tekton,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,TEKTON_URL,"tekton: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/tekton/tekton integrations/upstream/tekton,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: tekton — tekton: requires unavailable host capability, Kubernetes, GPU, or privileged networking in this baseline.",unknown/unverified,"The recorded repository URL https://github.com/tekton/tekton could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
argo-workflows,workflow,argo-workflows,https://github.com/argo-workflows/argo-workflows,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,ARGO_WORKFLOWS_URL,"argo-workflows: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/argo-workflows/argo-workflows integrations/upstream/argo-workflows,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: argo-workflows — argo-workflows: requires unavailable host capability, Kubernetes, GPU, or privileged networking in this baseline.",unknown/unverified,"The recorded repository URL https://github.com/argo-workflows/argo-workflows could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
prometheus,observability,prometheus,https://github.com/prometheus/prometheus,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,PROMETHEUS_URL,"prometheus: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/prometheus/prometheus integrations/upstream/prometheus,reviewed immutable HEAD commit 78169fb57d69371b24863b0f26555631a754204c on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,"blocked record: prometheus — prometheus: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
grafana,observability,grafana,https://github.com/grafana/grafana,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,GRAFANA_URL,"grafana: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/grafana/grafana integrations/upstream/grafana,reviewed immutable HEAD commit 85de834cd7c3a89c06ee74e3be48531ce6ac881f on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,"blocked record: grafana — grafana: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
loki,observability,loki,https://github.com/loki/loki,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,LOKI_URL,"loki: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/loki/loki integrations/upstream/loki,reviewed immutable HEAD commit 0ef5122b5cd5217277a290d61d6f087b8c8cba9b on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: loki — loki: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
tempo,observability,tempo,https://github.com/tempo/tempo,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,TEMPO_URL,"tempo: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/tempo/tempo integrations/upstream/tempo,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: tempo — tempo: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/tempo/tempo could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
otel-collector,observability,opentelemetry-collector,https://github.com/open-telemetry/opentelemetry-collector,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,OTEL_COLLECTOR_URL,"otel-collector: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/open-telemetry/opentelemetry-collector integrations/upstream/otel-collector,reviewed immutable HEAD commit af735319546aa0b4b94e25609d9157fff6f93b6c on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: otel-collector — otel-collector: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
jaeger,observability,jaeger,https://github.com/jaeger/jaeger,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,JAEGER_URL,"jaeger: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/jaeger/jaeger integrations/upstream/jaeger,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: jaeger — jaeger: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/jaeger/jaeger could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
sentry,observability,sentry,https://github.com/sentry/sentry,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,SENTRY_URL,"sentry: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/sentry/sentry integrations/upstream/sentry,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: sentry — sentry: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/sentry/sentry could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
glitchtip,observability,glitchtip,https://github.com/glitchtip/glitchtip,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,GLITCHTIP_URL,"glitchtip: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/glitchtip/glitchtip integrations/upstream/glitchtip,reviewed immutable HEAD commit 54ce24eb3575a8097eaabe54eb451aec971b7a07 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: glitchtip — glitchtip: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
umami,analytics,umami,https://github.com/umami/umami,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,UMAMI_URL,"umami: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/umami/umami integrations/upstream/umami,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: umami — umami: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/umami/umami could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
matomo,analytics,matomo,https://github.com/matomo/matomo,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,MATOMO_URL,"matomo: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/matomo/matomo integrations/upstream/matomo,reviewed immutable HEAD commit e5e405c73656847dab2bc0fd2a04990ceb2805e7 on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: matomo — matomo: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
posthog,analytics,posthog,https://github.com/posthog/posthog,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,POSTHOG_URL,"posthog: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/posthog/posthog integrations/upstream/posthog,reviewed immutable HEAD commit 8f6e8b64037ca33165f3106bd75fa76df7139ef0 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: posthog — posthog: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
plausible,analytics,plausible,https://github.com/plausible/plausible,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,PLAUSIBLE_URL,"plausible: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/plausible/plausible integrations/upstream/plausible,reviewed immutable HEAD commit e74d6fb214b76664442d6a6bb8d96e74807ccfbf on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: plausible — plausible: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
keycloakify,identity,keycloakify,https://github.com/keycloakify/keycloakify,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P2,KEYCLOAKIFY_URL,"keycloakify: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/keycloakify/keycloakify integrations/upstream/keycloakify,reviewed immutable HEAD commit 3a904639ae4b442add1926aba143960618fe271a on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: keycloakify — keycloakify: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
ory-kratos,identity,ory-kratos,https://github.com/ory-kratos/ory-kratos,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,ORY_KRATOS_URL,"ory-kratos: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/ory-kratos/ory-kratos integrations/upstream/ory-kratos,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: ory-kratos — ory-kratos: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/ory-kratos/ory-kratos could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
authentik,identity,authentik,https://github.com/authentik/authentik,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,AUTHENTIK_URL,"authentik: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/authentik/authentik integrations/upstream/authentik,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: authentik — authentik: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/authentik/authentik could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
zitadel,identity,zitadel,https://github.com/zitadel/zitadel,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,ZITADEL_URL,"zitadel: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/zitadel/zitadel integrations/upstream/zitadel,reviewed immutable HEAD commit 684de2e691278eb5d2da057651ff102842cf01ce on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: zitadel — zitadel: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
benthos,workflow,benthos,https://github.com/benthos/benthos,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,BENTHOS_URL,"benthos: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/benthos/benthos integrations/upstream/benthos,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: benthos — benthos: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/benthos/benthos could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
nats,messaging,nats,https://github.com/nats/nats,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,NATS_URL,"nats: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/nats/nats integrations/upstream/nats,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: nats — nats: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",unknown/unverified,"The recorded repository URL https://github.com/nats/nats could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
kafka,messaging,kafka,https://github.com/kafka/kafka,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,KAFKA_URL,"kafka: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/kafka/kafka integrations/upstream/kafka,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: kafka — kafka: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/kafka/kafka could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
redpanda,messaging,redpanda,https://github.com/redpanda/redpanda,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,REDPANDA_URL,"redpanda: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/redpanda/redpanda integrations/upstream/redpanda,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: redpanda — redpanda: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/redpanda/redpanda could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
rabbitmq,messaging,rabbitmq,https://github.com/rabbitmq/rabbitmq,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,RABBITMQ_URL,"rabbitmq: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/rabbitmq/rabbitmq integrations/upstream/rabbitmq,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,"blocked record: rabbitmq — rabbitmq: self-hosting is feasible, but no service image is asserted in this baseline; add a reviewed pinned manifest after runtime validation.",unknown/unverified,"The recorded repository URL https://github.com/rabbitmq/rabbitmq could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
zookeeper,messaging,zookeeper,https://github.com/zookeeper/zookeeper,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,ZOOKEEPER_URL,"zookeeper: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/zookeeper/zookeeper integrations/upstream/zookeeper,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: zookeeper — zookeeper: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/zookeeper/zookeeper could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
mattermost,collaboration,mattermost,https://github.com/mattermost/mattermost,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,MATTERMOST_URL,"mattermost: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/mattermost/mattermost integrations/upstream/mattermost,reviewed immutable HEAD commit e75e823ff2ad0d373ea3f7ed60c86e45966608a2 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: mattermost — mattermost: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
matrix-synapse,collaboration,synapse,https://github.com/element-hq/synapse,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,MATRIX_SYNAPSE_URL,"matrix-synapse: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/element-hq/synapse integrations/upstream/matrix-synapse,reviewed immutable HEAD commit 02ebf4e286ad9acef3c412d16eb45e5f61e26030 on upstream branch develop (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: matrix-synapse — matrix-synapse: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
calcom,scheduling,cal.com,https://github.com/calcom/cal.com,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,CALCOM_URL,"calcom: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/calcom/cal.com integrations/upstream/calcom,reviewed immutable HEAD commit 1251ba5be567d26a7f922452fe7797642376476e on upstream branch main (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: calcom — calcom: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
jitsi,collaboration,jitsi,https://github.com/jitsi/jitsi,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,JITSI_URL,"jitsi: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/jitsi/jitsi integrations/upstream/jitsi,reviewed immutable HEAD commit 7bde4ffebc9621d558ebb9953370395cba24f83c on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: jitsi — jitsi: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
livekit,collaboration,livekit,https://github.com/livekit/livekit,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,LIVEKIT_URL,"livekit: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/livekit/livekit integrations/upstream/livekit,reviewed immutable HEAD commit 5121860448763817c72ab211adf693e99c3c2c60 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: livekit — livekit: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
matterbridge,collaboration,matterbridge,https://github.com/matterbridge/matterbridge,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P3,MATTERBRIDGE_URL,"matterbridge: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/matterbridge/matterbridge integrations/upstream/matterbridge,unknown/unverified: do not pin until the recorded upstream is confirmed; remote did not return a HEAD reference during 2026-09-09 probe,blocked record: matterbridge — matterbridge: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,unknown/unverified,"The recorded repository URL https://github.com/matterbridge/matterbridge could not be resolved to a Git HEAD during the 2026-09-09 network probe (remote did not return a HEAD reference); it may be moved, renamed, unavailable, or require a different canonical owner. Verify the tool-specific upstream before cloning."
stripe,payments,stripe,https://github.com/stripe/stripe,verify upstream license and hosted costs,evaluate against existing UniGig boundary,P1,STRIPE_URL,"stripe: no reviewed per-tool manifest in this baseline; blocked pending its runtime, license, security, and credential review.",blocked-tool-specific,git clone --filter=blob:none https://github.com/stripe/stripe integrations/upstream/stripe,reviewed immutable HEAD commit 5fb1f79057574a796919ab87bfe8d3c6e5b8f697 on upstream branch master (git ls-remote probe 2026-09-09); pin this SHA before deployment,blocked record: stripe — stripe: requires tool-specific license/provider review and its runtime or external credentials; no production self-hosting is claimed.,reviewed-head-commit,"The recorded repository responded to git ls-remote on 2026-09-09; this SHA is metadata evidence, not a production compatibility claim."
